name,year,rating,votes,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,Cluster,time_period
Call of Duty: Modern Warfare,2019,8.4,5256.0,True,False,False,False,False,False,False,False,True,5,2010
Call of Duty: Black Ops,2010,8.3,19173.0,True,False,False,False,False,False,False,False,True,5,2000
Call of Duty: Modern Warfare 2,2009,8.8,23450.0,True,False,False,False,False,False,False,False,True,5,2000
Quantum of Solace,2008,6.7,9489.0,True,True,False,False,False,False,False,False,True,5,2000
Call of Duty 4: Modern Warfare,2007,9.0,22483.0,True,False,False,False,False,False,False,False,True,5,2000
Call of Duty: Modern Warfare 3,2011,8.1,18044.0,True,False,False,False,False,False,False,False,True,5,2010
The Warriors,2005,8.9,1886.0,True,False,False,True,False,False,False,False,True,5,2000
Mob of the Dead,2013,9.1,859.0,True,False,False,False,False,False,False,False,True,5,2010
Call of Duty: World at War,2008,8.2,11639.0,True,False,False,False,False,False,False,False,True,5,2000
Call of Duty: Ghosts,2013,6.6,8584.0,True,False,False,False,False,False,False,False,True,5,2010
Def Jam: Fight for NY,2004,8.4,928.0,True,False,False,True,False,False,False,False,True,5,2000
GoldenEye 007,1997,9.1,5605.0,True,True,False,False,False,False,False,False,True,5,1990
Half-Life,1998,9.2,10164.0,True,False,False,False,False,False,False,True,True,5,1990
Splinter Cell: Blacklist,2013,8.3,2743.0,True,True,False,False,False,False,False,False,True,5,2010
Prison Break: The Conspiracy,2010,7.6,876.0,True,False,False,True,False,False,False,False,True,5,2000
Far Cry 2,2008,6.9,4242.0,True,True,False,False,False,False,False,False,True,5,2000
From Russia with Love,2005,7.7,3173.0,True,True,False,False,False,False,False,False,True,5,2000
James Bond 007: Blood Stone,2010,7.5,2139.0,True,True,False,False,False,False,False,False,True,5,2000
Call of the Dead,2011,8.3,723.0,True,False,False,False,False,False,False,False,True,5,2010
True Crime: Streets of LA,2003,6.8,1423.0,True,False,False,True,False,False,False,False,True,5,2000
Splinter Cell,2002,8.3,3165.0,True,True,False,False,False,False,False,False,True,5,2000
Call of Duty: Modern Warfare Remastered,2016,8.4,2253.0,True,False,False,False,False,False,False,False,True,5,2010
John Wick Hex,2019,6.1,68.0,True,False,False,True,False,False,False,False,True,5,2010
XCOM 2: War of the Chosen,2017,8.7,307.0,True,False,False,False,False,False,False,True,True,5,2010
The Division 2,2019,7.7,942.0,True,False,False,False,False,False,False,True,True,5,2010
Stranglehold,2007,7.9,1900.0,True,False,False,True,False,False,False,False,True,5,2000
The Division,2016,7.3,2004.0,True,False,False,False,False,False,False,True,True,5,2010
Aliens: Fireteam Elite,2021,6.5,161.0,True,False,False,False,False,False,False,True,True,5,
Driv3r,2004,6.1,906.0,True,False,False,True,False,False,False,False,True,5,2000
Ready or Not,2021,7.9,20.0,True,False,False,True,False,False,False,False,True,5,
Dead Rising 3,2013,7.4,1109.0,True,False,False,False,False,False,False,False,True,5,2010
Splinter Cell: Chaos Theory,2005,8.6,2812.0,True,True,False,False,False,False,False,False,True,5,2000
GoldenEye: Rogue Agent,2004,6.5,509.0,True,True,False,False,False,False,False,False,True,5,2000
PlayerUnknown's Battlegrounds,2017,6.4,1963.0,True,False,False,False,False,False,False,False,True,5,2010
Dead Rising 2,2010,7.3,1983.0,True,False,False,False,False,False,False,False,True,5,2000
Splinter Cell: Conviction,2010,8.1,3101.0,True,True,False,False,False,False,False,False,True,5,2000
Call of Duty: Mobile,2019,7.6,601.0,True,True,False,False,False,False,False,False,True,5,2010
State of Decay 2,2018,6.7,421.0,True,False,False,False,False,False,False,False,True,5,2010
Black Mesa,2012,8.6,700.0,True,False,False,False,False,False,False,True,True,5,2010
The Shield,2007,6.9,307.0,True,False,False,True,False,False,False,False,True,5,2000
The Saboteur,2009,7.9,1127.0,True,True,False,False,False,False,False,False,True,5,2000
Homefront: The Revolution,2016,5.2,344.0,True,False,False,False,False,False,False,True,True,5,2010
Homefront,2011,6.3,1159.0,True,False,False,False,False,False,False,False,True,5,2010
XCOM 2,2016,8.2,819.0,True,False,False,False,False,False,False,True,True,5,2010
Sniper Elite 4,2017,7.5,832.0,True,False,False,False,False,False,False,False,True,5,2010
The Getaway: Black Monday,2004,7.6,288.0,True,False,False,True,False,False,False,False,True,5,2000
Driver: San Francisco,2011,7.6,781.0,True,False,False,True,False,False,False,False,True,5,2010
Call of Duty: Modern Warfare 2 Campaign Remastered,2020,8.4,718.0,True,False,False,False,False,False,False,False,True,5,2010
Resistance: Fall of Man,2006,7.9,1722.0,True,False,False,False,False,False,False,True,True,5,2000
Call of Duty: Origins,2013,8.4,473.0,True,False,False,False,False,False,False,False,True,5,2010
Ride to Hell: Retribution,2013,1.3,307.0,True,False,False,True,False,False,False,False,True,5,2010
50 Cent: Bulletproof,2005,3.8,556.0,True,False,False,True,False,False,False,False,True,5,2000
Rainbow Six,1998,7.5,414.0,True,False,False,True,False,False,False,False,True,5,1990
Splinter Cell: Double Agent,2006,7.8,2219.0,True,True,False,False,False,False,False,False,True,5,2000
Freedom Fighters,2003,8.4,681.0,True,False,False,False,False,False,False,False,True,5,2000
Wheelman,2009,6.3,553.0,True,False,False,True,False,False,False,False,True,5,2000
Aliens vs. Predator: Requiem,2007,5.0,323.0,True,False,False,False,False,False,False,True,True,5,2000
Quake 4,2005,7.2,1347.0,True,False,False,False,False,False,False,True,True,5,2000
Syndicate,2012,7.0,469.0,True,False,False,False,False,False,False,True,True,5,2010
The World Is Not Enough,2000,6.8,1384.0,True,True,False,False,False,False,False,False,True,5,1990
Splinter Cell: Pandora Tomorrow,2004,8.1,2038.0,True,True,False,False,False,False,False,False,True,5,2000
Dead Rising 2: Off the Record,2011,7.4,487.0,True,False,False,False,False,False,False,False,True,5,2010
Sniper Elite 3,2014,7.0,792.0,True,False,False,False,False,False,False,False,True,5,2010
Driver 2,2000,7.4,782.0,True,False,False,True,False,False,False,False,True,5,1990
Sniper Elite,2005,7.4,363.0,True,False,False,False,False,False,False,False,True,5,2000
Driver: Parallel Lines,2006,7.3,397.0,True,False,False,True,False,False,False,False,True,5,2000
Resistance 2,2008,7.9,1291.0,True,False,False,False,False,False,False,True,True,5,2000
Def Jam Vendetta,2003,7.1,251.0,True,False,False,True,False,False,False,False,True,5,2000
PUBG Mobile,2018,6.3,524.0,True,True,False,False,False,False,False,False,True,5,2010
Rogue Warrior,2009,3.4,231.0,True,False,False,False,False,False,False,False,True,5,2000
Ghost Recon: Advanced Warfighter 2,2007,7.4,621.0,True,False,False,False,False,False,False,False,True,5,2000
Postal,1997,6.8,386.0,True,False,False,True,False,False,False,False,True,5,1990
Free Fire,2017,4.6,416.0,True,False,False,False,False,False,False,False,True,5,2010
Zombie Army 4: Dead War,2020,6.7,231.0,True,False,False,False,False,False,False,False,True,5,2010
Rainbow Six: Vegas 2,2008,7.7,1500.0,True,False,False,True,False,False,False,False,True,5,2000
XCOM: Enemy Unknown,2012,8.3,1482.0,True,False,False,False,False,False,False,True,True,5,2010
Dark Sector,2008,7.0,351.0,True,False,False,False,False,False,False,True,True,5,2000
Sniper Elite V2,2012,7.2,898.0,True,False,False,False,False,False,False,False,True,5,2010
Call of Duty: Black Ops - Declassified,2012,4.7,144.0,True,True,False,False,False,False,False,False,True,5,2010
Half-Life: Opposing Force,1999,8.1,1933.0,True,False,False,False,False,False,False,True,True,5,1990
Driver,1999,7.5,1227.0,True,False,False,True,False,False,False,False,True,5,1990
SWAT 4,2005,8.1,360.0,True,False,False,True,False,False,False,False,True,5,2000
Fast and Furious: Showdown,2013,5.8,55.0,True,False,False,False,True,False,False,False,True,5,2010
Ghost Recon,2001,7.6,393.0,True,False,False,False,False,False,False,False,True,5,2000
State of Decay,2013,7.2,559.0,True,False,False,False,False,False,False,False,True,5,2010
007: Licence to Kill,1989,6.1,199.0,True,True,False,False,False,False,False,False,True,5,1980
Half-Life: Field Intensity,2022,7.8,9.0,True,False,False,False,False,False,False,True,True,5,
Mission: Impossible - Operation Surma,2003,6.3,98.0,True,True,False,False,False,False,False,False,True,5,2000
Alpha Protocol,2010,7.3,451.0,True,True,False,False,False,False,False,False,True,5,2000
Rainbow Six: Vegas,2006,7.5,1306.0,True,False,False,True,False,False,False,False,True,5,2000
Last Year: The Nightmare,2018,5.5,23.0,True,False,False,False,False,False,False,False,True,5,2010
Ghost Recon: Advanced Warfighter,2006,7.3,788.0,True,False,False,False,False,False,False,False,True,5,2000
Die Hard Trilogy,1996,7.7,472.0,True,False,False,False,False,False,False,False,True,5,1990
Dead to Rights,2002,7.0,222.0,True,False,False,True,False,False,False,False,True,5,2000
Splinter Cell: Essentials,2006,7.0,117.0,True,True,False,False,False,False,False,False,True,5,2000
Dead Rising 2: Case Zero,2010,7.2,271.0,True,False,False,False,False,False,False,False,True,5,2000
Sniper: Ghost Warrior Contracts,2019,6.4,88.0,True,False,False,False,False,False,False,False,True,5,2010
The Terminator,1991,7.5,466.0,True,False,False,False,False,False,False,True,True,5,1990
Binary Domain,2012,7.8,428.0,True,False,False,False,False,False,False,True,True,5,2010
Soldier of Fortune II: Double Helix,2002,7.6,366.0,True,True,False,False,False,False,False,False,True,5,2000
Half-Life: Decay,2001,7.3,58.0,True,False,False,False,False,False,False,True,True,5,2000
Half-Life 2: Lost Coast,2005,7.3,445.0,True,False,False,False,False,False,False,True,True,5,2000
XCOM: Chimera Squad,2019,6.6,58.0,True,False,False,False,False,False,False,True,True,5,2010
Half-Life: Blue Shift,2001,7.5,1799.0,True,False,False,False,False,False,False,True,True,5,2000
Dragon Ball Z: Budokai Tenkaichi 2,2006,7.9,389.0,True,False,False,False,False,False,False,False,True,5,2000
Mark of the Ninja,2012,7.8,344.0,True,False,False,False,False,False,False,False,True,5,2010
Postal Redux,2016,7.6,62.0,True,False,False,True,False,False,False,False,True,5,2010
Dragon Ball Z: Budokai Tenkaichi,2005,7.7,402.0,True,False,False,False,False,False,False,False,True,5,2000
Zombie Army Trilogy,2015,6.8,168.0,True,False,False,False,False,False,False,False,True,5,2010
Dead Island: Ryder White,2012,7.5,66.0,True,False,False,False,False,False,False,False,True,5,2010
Singularity,2010,7.6,866.0,True,False,False,False,False,False,False,True,True,5,2000
War of the Monsters,2003,8.0,113.0,True,False,False,False,False,False,False,True,True,5,2000
Dead to Rights: Retribution,2010,7.5,92.0,True,False,False,True,False,False,False,False,True,5,2000
Brink,2011,4.8,237.0,True,False,False,False,False,False,False,False,True,5,2010
Dead Rising 2: Case West,2010,7.0,157.0,True,False,False,False,False,False,False,False,True,5,2000
Resistance: Retribution,2009,7.7,96.0,True,False,False,False,False,False,False,True,True,5,2000
Steel Battalion: Heavy Armor,2012,2.3,40.0,True,False,False,False,False,False,False,True,True,5,2010
Bleach: Shattered Blade,2006,8.0,26.0,True,False,False,False,False,True,False,False,True,5,2000
Syphon Filter: The Omega Strain,2004,6.0,111.0,True,True,False,False,False,False,False,False,True,5,2000
Hitman: Sniper,2014,6.4,118.0,True,False,False,True,False,False,False,False,True,5,2010
I Am Legend: Survival,2007,6.9,36.0,True,False,False,False,False,False,False,False,True,5,2000
Dirty Harry,1990,6.2,38.0,True,False,False,True,False,False,False,False,True,5,1980
Ghost Recon 2,2004,7.1,164.0,True,False,False,False,False,False,False,False,True,5,2000
Sniper Elite: Nazi Zombie Army,2013,6.9,39.0,True,False,False,False,False,False,False,False,True,5,2010
State of Emergency,2002,5.7,97.0,True,False,False,True,False,False,False,False,True,5,2000
Dead to Rights II,2005,7.1,99.0,True,False,False,True,False,False,False,False,True,5,2000
Namco x Capcom,2005,6.8,34.0,True,True,False,False,False,False,False,False,True,5,2000
SWAT 4: The Stetchkov Syndicate,2006,7.5,121.0,True,False,False,True,False,False,False,False,True,5,2000
Rainbow Six: Rogue Spear,1999,7.9,217.0,True,False,False,True,False,False,False,False,True,5,1990
Mafia II: The Betrayal of Jimmy,2010,6.8,22.0,True,False,False,False,False,False,False,False,True,5,2000
Dragon Ball Z: Ultimate Battle 22,1995,6.0,129.0,True,False,False,False,False,False,False,False,True,5,1990
Dead Nation,2010,7.1,205.0,True,False,False,False,False,False,False,False,True,5,2000
SWAT: Global Strike Team,2003,7.4,50.0,True,False,False,True,False,False,False,False,True,5,2000
Covert Action,1990,7.7,24.0,True,False,False,False,False,False,False,False,True,5,1980
Sleeping Dogs: Year of the Snake,2013,7.7,92.0,True,False,False,False,False,False,False,False,True,5,2010
World's Scariest Police Chases,2001,6.4,52.0,True,False,False,True,False,False,False,False,True,5,2000
Die Hard Trilogy 2: Viva Las Vegas,2000,6.6,103.0,True,True,False,False,False,False,False,False,True,5,1990
X-COM: UFO Defense,1994,9.1,384.0,True,False,False,False,False,False,False,True,True,5,1990
Halloween,1983,6.0,111.0,True,False,False,False,False,False,False,False,True,5,1980
Nuclear Strike,1997,7.5,81.0,True,True,False,False,False,False,False,False,True,5,1990
Driver '76,2007,6.9,18.0,True,False,False,True,False,False,False,False,True,5,2000
Jurassic Park Interactive,1994,3.1,13.0,True,True,False,False,False,False,False,False,True,5,1990
XCOM: Enemy Within,2013,8.6,443.0,True,False,False,False,False,False,False,True,True,5,2010
Ghost Recon: Predator,2010,6.4,12.0,True,False,False,False,False,False,False,False,True,5,2000
Hitman: Sniper Challenge,2012,7.7,16.0,True,False,False,True,False,False,False,False,True,5,2010
Ghost Recon: Jungle Storm,2004,7.3,58.0,True,False,False,False,False,False,False,False,True,5,2000
Rainbow Six 3: Raven Shield,2003,7.9,332.0,True,False,False,True,False,False,False,False,True,5,2000
Metal Gear Solid: Digital Graphic Novel,2006,8.0,119.0,True,False,False,False,False,False,False,False,True,5,2000
Time Crisis 5,2015,6.8,19.0,True,True,False,False,False,False,False,False,True,5,2010
Act of War: Direct Action,2005,8.3,64.0,True,False,False,False,False,False,False,False,True,5,2000
Resistance: Burning Skies,2012,6.9,67.0,True,False,False,False,False,False,False,True,True,5,2010
Live and Let Die: The Computer Game,1988,7.3,47.0,True,True,False,False,False,False,False,False,True,5,1980
Smash TV,1990,7.1,94.0,True,False,False,False,False,False,False,True,True,5,1980
MindJack,2011,1.8,45.0,True,False,False,False,False,False,False,True,True,5,2010
Mission: Impossible,1998,6.9,190.0,True,True,False,False,False,False,False,False,True,5,1990
Ring of Elysium,2018,7.6,28.0,True,False,False,False,False,False,False,False,True,5,2010
